,Application,Perf_node01_task_clock,Perf_node01_cpu_bus_cycles_,Perf_node01_cpu_cpu_cycles_,Perf_node01_msr_aperf_,Perf_node01_msr_mperf_,Perf_node01_msr_tsc_,Perf_node01_cpu_ref_cycles_,Perf_node01_power_energy_pkg_,a,Perf_node01_power_energy_ram_,b,Perf_node01_power_energy_total_,c
723,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
724,BT,10,10,10,10,11,11,11,2,0,0,0,2,0
725,BT,11,11,11,11,11,11,11,3,2,3,0,3,2
726,BT,10,10,10,10,10,10,10,0,3,1,3,0,3
727,BT,10,10,10,11,11,11,11,2,0,0,1,2,0
728,BT,11,11,11,11,11,11,11,3,2,3,0,3,2
729,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
730,BT,10,10,10,10,10,11,11,2,0,1,0,2,0
731,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
732,BT,10,10,10,10,10,10,10,0,3,1,3,0,3
733,BT,10,10,10,10,10,10,10,2,0,0,1,1,0
734,BT,11,11,11,11,11,11,11,3,2,2,0,3,1
735,BT,10,10,10,10,10,10,10,0,3,3,2,0,3
736,BT,10,10,10,10,10,10,10,2,0,0,3,2,0
737,BT,11,11,11,11,11,11,11,2,2,1,0,2,2
738,BT,11,11,11,11,11,11,11,1,2,3,1,2,2
739,BT,10,10,10,10,10,10,10,2,1,0,3,1,2
740,BT,11,11,11,10,10,10,10,1,2,1,0,1,1
741,BT,11,11,11,11,11,11,11,3,1,3,1,3,1
742,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
743,BT,10,10,10,10,10,10,11,2,0,1,0,2,0
744,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
745,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
746,BT,10,10,10,10,10,10,10,1,0,1,0,1,0
747,BT,11,11,11,11,11,11,11,3,1,3,1,3,1
748,BT,10,10,10,10,10,10,10,0,3,1,3,0,3
749,BT,10,10,10,10,10,10,10,1,0,0,1,1,0
750,BT,11,11,11,11,11,11,11,3,1,3,0,3,1
751,BT,11,10,10,10,10,10,10,0,3,1,3,0,3
752,BT,10,10,10,10,10,11,10,2,0,1,1,2,0
753,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
754,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
755,BT,10,10,10,10,10,10,10,2,0,0,0,1,0
756,BT,11,11,11,11,11,11,11,3,2,2,0,3,1
757,BT,10,10,10,10,10,10,10,0,3,2,2,0,3
758,BT,10,10,10,10,10,10,10,2,0,0,2,2,0
759,BT,11,10,10,11,11,11,11,2,2,2,0,2,2
760,BT,11,11,11,11,11,11,11,1,2,3,2,2,2
761,BT,10,10,10,10,10,10,10,1,1,0,3,1,2
762,BT,11,11,11,11,11,11,11,2,1,0,0,2,1
763,BT,11,11,11,11,11,11,11,3,2,3,0,3,2
764,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
765,BT,10,10,10,10,10,10,10,1,0,0,0,1,0
766,BT,11,11,11,11,11,11,11,3,1,3,0,3,1
767,BT,10,10,10,10,10,10,10,0,3,1,3,0,3
768,BT,10,10,10,10,10,10,10,0,0,0,1,0,0
769,BT,10,11,11,11,11,10,11,2,0,1,0,2,0
770,BT,11,11,11,11,11,11,11,2,2,1,1,2,2
771,BT,11,11,11,11,11,11,11,2,2,2,1,2,2
772,BT,11,11,11,11,11,11,11,3,2,3,2,3,2
773,BT,10,10,11,11,11,10,11,2,3,3,3,2,3
774,BT,10,10,10,10,10,10,10,0,2,0,3,0,2
775,BT,11,11,10,11,11,11,11,2,0,1,0,2,0
776,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
777,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
778,BT,10,11,11,11,11,11,11,2,0,0,0,1,0
779,BT,11,11,11,11,11,11,11,3,2,3,0,3,1
780,BT,10,10,10,10,10,10,10,1,3,0,3,0,3
781,BT,10,10,10,10,10,10,10,1,1,1,0,1,0
782,BT,11,11,11,11,11,11,11,1,1,3,1,2,1
783,BT,10,10,10,10,10,10,10,1,1,0,3,1,2
784,BT,10,10,10,11,11,10,10,2,1,1,0,2,1
785,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
786,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
787,BT,10,10,10,10,10,10,11,2,0,2,0,2,0
788,BT,11,11,11,11,11,11,11,3,2,3,2,3,2
789,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
790,BT,10,10,10,10,10,10,10,2,0,2,0,2,0
791,BT,11,11,11,11,11,11,11,3,2,3,2,3,2
792,BT,10,10,10,10,10,10,10,1,3,0,3,0,3
793,BT,10,10,10,10,10,10,10,1,1,2,0,1,0
794,BT,11,11,11,11,11,11,11,3,1,3,2,3,1
795,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
796,BT,10,10,10,10,10,10,10,1,0,1,0,1,0
797,BT,11,11,11,11,11,11,11,3,1,3,1,3,1
798,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
799,BT,10,10,10,10,10,10,10,1,0,0,0,1,0
800,BT,11,11,11,11,11,11,11,3,1,3,0,3,1
801,BT,11,10,10,10,10,10,10,0,3,0,3,0,3
802,BT,10,10,10,10,10,10,10,1,0,1,0,1,0
803,BT,11,11,11,11,11,11,11,3,1,3,1,3,1
804,BT,11,10,10,10,10,10,10,0,3,0,3,0,3
805,BT,10,10,10,10,10,10,10,1,0,0,0,1,0
806,BT,11,11,11,11,11,11,11,3,1,3,0,3,1
