,Application,Perf_node01_task_clock,Perf_node01_cpu_bus_cycles_,Perf_node01_cpu_cpu_cycles_,Perf_node01_msr_aperf_,Perf_node01_msr_mperf_,Perf_node01_msr_tsc_,Perf_node01_cpu_ref_cycles_,Perf_node01_power_energy_pkg_,Perf_node01_power_energy_ram_,Perf_node01_power_energy_total_
3895,FT,11,10,10,10,10,10,10,1,1,1
3896,FT,11,11,11,10,10,10,11,1,1,1
3897,FT,10,10,10,10,10,10,10,1,2,1
3898,FT,11,11,11,11,11,11,11,2,2,2
3899,FT,11,11,11,11,11,11,11,2,2,2
3900,FT,10,10,10,10,10,10,10,1,1,1
3901,FT,11,11,11,11,11,11,11,2,2,2
3902,FT,11,10,10,10,10,10,10,1,1,1
3903,FT,10,10,10,10,10,10,10,1,1,1
3904,FT,10,10,11,10,10,10,11,1,1,1
3905,FT,10,10,10,10,10,10,10,0,0,0
3906,FT,10,11,11,11,11,11,11,3,1,3
3907,FT,11,11,11,11,11,11,11,2,3,2
3908,FT,11,11,11,11,11,11,11,2,2,2
3909,FT,11,11,11,11,11,11,11,2,2,2
3910,FT,11,11,11,11,11,11,11,2,2,2
3911,FT,11,10,10,10,10,10,10,1,1,1
3912,FT,10,10,10,10,10,10,11,2,1,2
3913,FT,10,10,10,10,10,10,10,1,1,1
3914,FT,10,10,10,10,10,10,10,1,1,1
3915,FT,10,10,10,10,10,10,10,0,0,0
3916,FT,10,11,11,10,10,10,11,1,0,0
3917,FT,11,11,11,11,11,11,11,3,3,3
3918,FT,11,10,10,10,10,10,10,1,3,2
3919,FT,10,10,10,10,10,10,10,1,1,1
3920,FT,10,10,11,11,11,11,11,2,2,2
3921,FT,10,10,10,10,10,11,10,1,1,1
3922,FT,11,11,11,10,10,10,10,1,2,1
3923,FT,11,11,11,11,11,11,11,2,2,2
3924,FT,10,10,10,10,10,10,10,1,1,1
3925,FT,10,11,11,10,11,11,11,2,1,1
3926,FT,11,11,11,11,11,11,11,2,2,2
3927,FT,11,10,10,10,10,10,10,1,1,1
3928,FT,10,10,10,10,10,11,11,2,2,2
3929,FT,11,11,11,11,11,11,11,2,2,2
3930,FT,11,10,10,10,10,10,10,1,1,1
3931,FT,10,10,10,10,10,10,10,1,1,1
3932,FT,10,10,11,11,11,11,11,2,2,2
3933,FT,11,10,11,10,10,10,10,1,2,1
3934,FT,11,11,11,11,11,11,11,2,2,2
3935,FT,10,10,10,10,10,10,10,0,0,0
3936,FT,10,11,11,11,11,11,11,2,1,2
3937,FT,11,11,11,11,11,11,11,2,3,2
3938,FT,11,11,11,11,11,11,11,2,2,2
3939,FT,11,11,11,11,11,11,11,2,2,2
3940,FT,10,10,10,10,10,10,10,1,2,1
3941,FT,11,11,11,11,11,11,11,2,1,2
3942,FT,10,10,10,10,10,11,10,2,2,2
3943,FT,10,10,10,10,10,10,10,1,1,1
3944,FT,10,10,10,10,10,10,10,1,1,1
3945,FT,10,10,10,10,10,10,10,0,0,0
3946,FT,10,10,10,10,10,10,10,1,0,0
3947,FT,11,11,11,11,11,11,11,3,3,3
3948,FT,11,10,10,11,10,10,10,1,3,1
3949,FT,10,10,10,10,10,10,10,2,2,2
3950,FT,11,11,11,11,11,11,11,2,2,2
3951,FT,11,10,10,10,10,10,10,1,1,1
3952,FT,10,11,11,10,10,11,11,2,2,2
3953,FT,10,11,10,11,11,10,11,1,1,1
3954,FT,10,10,11,10,10,10,11,1,1,1
3955,FT,11,11,11,11,11,11,11,2,2,2
3956,FT,11,10,10,10,10,10,10,1,1,1
3957,FT,10,10,10,10,10,10,10,1,1,1
3958,FT,11,11,11,11,11,11,11,2,2,2
3959,FT,10,10,10,10,10,10,10,1,1,1
3960,FT,10,10,10,10,10,10,10,1,1,1
3961,FT,11,11,11,11,11,11,11,2,2,2
3962,FT,11,11,11,11,10,10,10,1,1,1
3963,FT,11,11,11,11,11,11,11,2,2,2
3964,FT,10,10,10,10,10,10,10,1,1,1
3965,FT,10,10,10,10,10,10,10,0,0,0
3966,FT,10,11,11,11,11,11,11,3,0,2
3967,FT,11,11,11,11,11,11,11,3,3,3
3968,FT,11,11,11,11,11,10,10,1,1,1
3969,FT,10,10,10,10,10,10,10,1,1,1
3970,FT,11,11,11,11,10,10,11,1,1,1
3971,FT,11,11,11,11,11,11,11,2,2,2
3972,FT,10,10,10,10,10,10,10,1,1,1
3973,FT,10,10,10,10,10,10,10,1,1,1
3974,FT,10,10,10,10,10,10,10,1,1,1
3975,FT,10,10,10,10,10,10,10,0,1,0
3976,FT,10,10,10,10,10,10,10,1,0,0
