,Application,variable,Perf_node01_power_energy_pkg_,a,Perf_node01_power_energy_ram_,b,Perf_node01_power_energy_total_,c
1694,CG,127,2,2,2,2,2,2
1695,CG,1,1,2,1,2,1,2
1696,CG,126,2,1,1,1,2,1
1697,CG,0,1,2,2,1,1,2
1698,CG,126,2,1,1,2,1,1
1699,CG,127,2,2,2,1,2,1
1700,CG,0,1,2,2,2,1,2
1701,CG,14,1,1,0,2,1,1
1702,CG,127,2,1,3,0,2,1
1703,CG,7,1,2,2,3,1,2
1704,CG,0,1,1,2,2,1,1
1705,CG,127,2,1,2,2,2,1
1706,CG,127,2,2,1,2,2,2
1707,CG,17,1,2,1,1,1,2
1708,CG,2,1,1,1,1,1,1
1709,CG,125,2,1,2,1,2,1
1710,CG,31,1,2,2,2,1,2
1711,CG,64,1,1,1,2,1,1
1712,CG,32,2,1,1,1,1,1
1713,CG,127,2,2,2,1,2,1
1714,CG,6,1,2,1,2,1,2
1715,CG,97,2,1,1,1,1,1
1716,CG,126,2,2,2,1,2,1
1717,CG,1,1,2,1,2,1,2
1718,CG,126,2,1,2,1,2,1
1719,CG,1,1,2,1,2,1,2
1720,CG,120,2,1,2,1,2,1
1721,CG,127,2,2,2,2,2,2
1722,CG,1,1,2,1,2,1,2
1723,CG,96,2,1,2,1,2,1
1724,CG,12,1,2,0,2,1,2
1725,CG,66,2,1,3,0,2,1
1726,CG,127,2,2,2,3,2,2
1727,CG,127,1,2,1,2,1,2
1728,CG,70,2,1,2,1,2,1
1729,CG,112,1,2,2,2,1,2
1730,CG,0,1,1,0,2,1,1
1731,CG,127,2,1,3,0,2,1
1732,CG,127,2,2,2,3,2,2
1733,CG,15,1,2,1,2,1,2
1734,CG,96,2,1,1,1,1,1
1735,CG,14,1,2,2,1,1,1
1736,CG,127,2,1,2,2,2,1
1737,CG,70,2,2,1,2,2,2
1738,CG,0,1,2,1,1,1,2
1739,CG,65,2,1,2,1,2,1
1740,CG,8,1,2,2,2,1,2
1741,CG,127,2,1,2,2,2,1
1742,CG,0,1,2,1,2,1,2
1743,CG,126,1,1,1,1,1,1
1744,CG,96,2,1,2,1,2,1
1745,CG,15,1,2,1,2,1,2
1746,CG,126,2,1,1,1,1,1
1747,CG,38,1,2,1,1,1,1
1748,CG,95,1,1,3,1,2,1
1749,CG,96,1,1,2,3,1,2
1750,CG,15,1,1,1,2,1,1
1751,CG,127,2,1,2,1,2,1
1752,CG,126,2,2,1,2,2,2
1753,CG,103,2,2,2,1,2,2
1754,CG,28,1,2,1,2,1,2
1755,CG,103,2,1,2,1,2,1
1756,CG,32,1,2,1,2,1,2
1757,CG,15,1,1,1,1,1,1
