,Application,variable,Perf_node01_power_energy_pkg_,a,Perf_node01_power_energy_ram_,b,Perf_node01_power_energy_total_,c
1134,BT,112,2,0,1,0,2,0
1135,BT,127,3,2,3,1,3,2
1136,BT,0,0,3,0,3,0,3
1137,BT,120,2,0,2,0,2,0
1138,BT,127,3,2,3,2,3,2
1139,BT,0,0,3,1,3,0,3
1140,BT,112,2,0,1,1,2,0
1141,BT,127,3,2,3,1,3,2
1142,BT,0,0,3,0,3,0,3
1143,BT,112,2,0,0,0,2,0
1144,BT,127,3,2,3,0,3,2
1145,BT,0,0,3,0,3,0,3
1146,BT,112,2,0,1,0,2,0
1147,BT,127,3,2,3,1,3,2
1148,BT,0,0,3,0,3,0,3
1149,BT,112,2,0,1,0,2,0
1150,BT,127,3,2,3,1,3,2
1151,BT,0,0,3,0,3,0,3
1152,BT,112,2,0,1,0,2,0
1153,BT,127,3,2,3,1,3,2
1154,BT,0,0,3,1,3,0,3
1155,BT,112,2,0,1,1,2,0
1156,BT,127,3,2,3,1,3,2
1157,BT,0,0,3,0,3,0,3
1158,BT,96,2,0,1,0,2,0
1159,BT,127,3,2,3,1,3,2
1160,BT,0,0,3,0,3,0,3
1161,BT,96,2,0,1,0,2,0
1162,BT,127,3,2,3,1,3,2
1163,BT,0,0,3,0,3,0,3
1164,BT,96,2,0,2,0,2,0
1165,BT,127,3,2,3,2,3,2
1166,BT,0,0,3,0,3,0,3
1167,BT,112,2,0,2,0,2,0
1168,BT,127,3,2,3,2,3,2
1169,BT,0,0,3,0,3,0,3
1170,BT,120,2,0,2,0,2,0
1171,BT,127,3,2,3,2,3,2
1172,BT,0,0,3,0,3,0,3
1173,BT,120,2,0,0,0,2,0
1174,BT,127,3,2,3,0,3,2
1175,BT,0,0,3,0,3,0,3
1176,BT,120,2,0,2,0,2,0
1177,BT,127,3,2,3,2,3,2
1178,BT,0,0,3,0,3,0,3
1179,BT,120,2,0,2,0,2,0
1180,BT,127,3,2,2,2,3,2
1181,BT,0,0,3,0,2,0,3
1182,BT,112,2,0,1,0,2,0
1183,BT,127,3,2,3,1,3,2
1184,BT,0,0,3,0,3,0,3
1185,BT,120,2,0,1,0,2,0
1186,BT,127,3,2,3,1,3,2
1187,BT,0,0,3,0,3,0,3
1188,BT,96,2,0,0,0,2,0
1189,BT,127,3,2,3,0,3,2
1190,BT,0,0,3,1,3,0,3
1191,BT,96,2,0,1,1,2,0
1192,BT,127,3,2,3,1,3,2
1193,BT,0,0,3,0,3,0,3
1194,BT,0,1,0,0,0,1,0
1195,BT,127,3,1,3,0,3,1
1196,BT,0,0,3,0,3,0,3
1197,BT,0,1,0,1,0,1,0
1198,BT,127,3,1,3,1,3,1
1199,BT,0,0,3,0,3,0,3
1200,BT,96,2,0,1,0,1,0
1201,BT,127,3,2,3,1,3,1
1202,BT,0,0,3,0,3,0,3
1203,BT,112,2,0,1,0,2,0
1204,BT,127,3,2,3,1,3,2
1205,BT,0,0,3,1,3,0,3
1206,BT,96,2,0,1,1,2,0
1207,BT,127,3,2,3,1,3,2
1208,BT,0,0,3,0,3,0,3
1209,BT,96,2,0,0,0,1,0
1210,BT,127,3,2,3,0,3,1
1211,BT,0,0,3,0,3,0,3
1212,BT,96,2,0,1,0,2,0
1213,BT,127,3,2,3,1,3,2
1214,BT,0,0,3,0,3,0,3
1215,BT,96,2,0,0,0,1,0
1216,BT,127,3,2,3,0,3,1
1217,BT,0,0,3,0,3,0,3
1218,BT,112,2,0,1,0,2,0
1219,BT,127,3,2,3,1,3,2
1220,BT,0,0,3,0,3,0,3
1221,BT,112,2,0,1,0,2,0
1222,BT,127,3,2,3,1,3,2
1223,BT,0,0,3,0,3,0,3
1224,BT,112,2,0,1,0,2,0
1225,BT,127,3,2,3,1,3,2
1226,BT,0,0,3,0,3,0,3
1227,BT,96,2,0,2,0,2,0
1228,BT,127,3,2,2,2,3,2
1229,BT,0,0,3,0,2,0,3
1230,BT,96,2,0,1,0,2,0
1231,BT,127,3,2,3,1,3,2
1232,BT,0,0,3,0,3,0,3
1233,BT,96,1,0,0,0,1,0
1234,BT,127,3,1,3,0,3,1
1235,BT,0,0,3,1,3,0,3
1236,BT,112,2,0,2,1,2,0
1237,BT,127,3,2,3,2,3,2
1238,BT,0,0,3,0,3,0,3
1239,BT,120,2,0,1,0,2,0
1240,BT,127,3,2,3,1,3,2
1241,BT,0,0,3,0,3,0,3
1242,BT,96,2,0,1,0,2,0
1243,BT,127,3,2,3,1,3,2
1244,BT,0,0,3,1,3,0,3
1245,BT,112,2,0,0,1,2,0
1246,BT,127,3,2,3,0,3,2
1247,BT,0,0,3,0,3,0,3
1248,BT,112,2,0,1,0,2,0
1249,BT,127,3,2,2,1,3,2
1250,BT,0,0,3,1,2,0,3
1251,BT,96,2,0,1,1,2,0
1252,BT,127,3,2,3,1,3,2
1253,BT,0,0,3,1,3,0,3
1254,BT,112,2,0,0,1,2,0
1255,BT,127,3,2,3,0,3,2
1256,BT,0,0,3,0,3,0,3
1257,BT,112,2,0,1,0,2,0
1258,BT,127,3,2,3,1,3,2
1259,BT,0,0,3,0,3,0,3
1260,BT,96,2,0,1,0,2,0
1261,BT,127,3,2,3,1,3,2
1262,BT,0,0,3,0,3,0,3
1263,BT,96,2,0,1,0,2,0
1264,BT,127,3,2,3,1,3,2
1265,BT,0,0,3,1,3,0,3
1266,BT,120,2,0,2,1,2,0
1267,BT,127,3,2,2,2,3,2
1268,BT,0,0,3,0,2,0,3
1269,BT,120,2,0,1,0,2,0
1270,BT,127,2,2,3,1,2,2
1271,BT,0,0,2,0,3,0,2
1272,BT,96,2,0,1,0,2,0
1273,BT,127,3,2,3,1,3,2
1274,BT,0,0,3,1,3,0,3
1275,BT,32,2,0,0,1,2,0
1276,BT,127,3,2,3,0,3,2
1277,BT,0,0,3,1,3,0,3
1278,BT,0,1,0,0,1,1,0
1279,BT,57,2,1,1,0,2,1
1280,BT,127,2,2,3,1,2,2
1281,BT,0,1,2,0,3,1,2
1282,BT,30,2,1,2,0,2,1
1283,BT,127,3,2,3,2,3,2
1284,BT,0,0,3,0,3,0,3
1285,BT,0,1,0,0,0,1,0
1286,BT,127,3,1,3,0,3,1
1287,BT,0,0,3,0,3,0,3
1288,BT,0,2,0,1,0,1,0
1289,BT,127,3,2,3,1,3,1
1290,BT,0,0,3,0,3,0,3
1291,BT,0,2,0,1,0,2,0
1292,BT,127,3,2,3,1,3,2
1293,BT,0,0,3,0,3,0,3
1294,BT,0,2,0,2,0,2,0
1295,BT,127,3,2,3,2,3,2
1296,BT,0,0,3,0,3,0,3
1297,BT,0,1,0,1,0,1,0
1298,BT,127,3,1,3,1,3,1
1299,BT,0,0,3,0,3,0,3
1300,BT,0,1,0,0,0,1,0
1301,BT,127,3,1,3,0,3,1
1302,BT,0,0,3,1,3,0,3
1303,BT,118,2,0,0,1,1,0
1304,BT,127,3,2,3,0,3,1
1305,BT,0,0,3,0,3,0,3
1306,BT,112,2,0,0,0,2,0
1307,BT,127,3,2,3,0,3,2
1308,BT,0,0,3,1,3,0,3
1309,BT,96,2,0,1,1,1,0
1310,BT,127,3,2,3,1,3,1
1311,BT,0,0,3,0,3,0,3
1312,BT,0,2,0,1,0,2,0
1313,BT,127,3,2,3,1,3,2
1314,BT,1,0,3,1,3,0,3
1315,BT,0,2,0,0,1,2,0
1316,BT,102,2,2,1,0,1,2
1317,BT,127,1,2,3,1,1,1
1318,BT,0,2,1,0,3,1,1
1319,BT,26,2,2,3,0,2,1
1320,BT,127,3,2,3,3,3,2
1321,BT,0,0,3,0,3,0,3
1322,BT,0,2,0,0,0,1,0
