,Application,Perf_node01_task_clock,Perf_node01_cpu_bus_cycles_,Perf_node01_cpu_cpu_cycles_,Perf_node01_msr_aperf_,Perf_node01_msr_mperf_,Perf_node01_msr_tsc_,Perf_node01_cpu_ref_cycles_,Perf_node01_power_energy_pkg_,Perf_node01_power_energy_ram_,Perf_node01_power_energy_total_
6630,MG,10,10,10,10,10,10,10,1,1,1
6631,MG,11,11,11,11,11,11,11,3,1,2
6632,MG,11,11,10,10,10,10,10,1,2,1
6633,MG,11,11,11,11,11,10,10,2,2,2
6634,MG,10,10,10,10,10,10,10,1,1,1
6635,MG,10,10,10,10,10,10,10,1,1,1
6636,MG,11,11,11,11,11,11,11,2,2,2
6637,MG,11,11,11,11,11,11,11,2,1,2
6638,MG,10,10,10,10,10,10,10,1,1,1
6639,MG,10,11,11,10,11,11,11,2,2,2
6640,MG,11,11,11,11,11,11,11,2,2,2
6641,MG,11,11,11,11,11,11,11,2,3,2
6642,MG,11,11,10,10,10,10,10,1,1,1
6643,MG,10,11,11,11,11,11,11,2,2,2
6644,MG,11,10,10,10,10,10,10,1,1,1
6645,MG,10,10,10,10,10,10,10,0,0,0
6646,MG,10,11,11,11,11,11,11,2,0,2
6647,MG,11,11,11,11,11,11,11,2,2,2
6648,MG,11,11,10,11,11,11,10,1,3,2
6649,MG,11,11,11,11,11,11,11,3,3,3
6650,MG,10,11,11,11,11,10,11,2,3,2
6651,MG,11,11,11,11,11,11,11,2,1,2
6652,MG,10,10,10,10,10,10,10,0,1,1
6653,MG,10,11,11,11,11,11,11,2,2,2
6654,MG,11,11,11,11,11,11,10,2,2,2
6655,MG,11,11,11,11,11,11,11,1,1,1
6656,MG,10,10,10,10,10,10,10,1,1,1
6657,MG,11,11,11,11,11,11,11,2,3,2
6658,MG,11,11,11,11,11,11,11,2,2,2
6659,MG,11,10,11,11,11,10,10,2,1,1
6660,MG,10,10,10,10,10,11,11,1,1,1
6661,MG,10,10,10,10,10,10,10,1,2,2
6662,MG,11,11,11,11,11,11,10,2,1,2
6663,MG,11,11,11,11,11,11,11,2,2,2
6664,MG,10,10,10,10,10,10,10,1,1,1
6665,MG,10,11,11,11,11,11,11,2,2,2
6666,MG,11,11,11,11,11,11,11,2,2,2
6667,MG,11,11,11,11,11,11,11,2,2,2
6668,MG,11,11,10,10,10,10,10,1,1,1
6669,MG,10,10,10,10,10,10,10,1,1,1
6670,MG,11,11,11,11,11,11,11,2,2,2
6671,MG,11,11,11,11,11,11,11,2,2,2
6672,MG,10,10,10,10,10,10,10,1,1,1
6673,MG,10,11,10,10,11,11,11,2,2,2
6674,MG,11,11,11,11,11,11,11,2,2,2
6675,MG,11,11,11,11,11,11,11,2,2,2
6676,MG,10,10,10,10,10,10,10,1,1,1
6677,MG,10,10,10,10,10,10,10,1,2,1
6678,MG,11,11,11,11,11,11,11,2,2,2
6679,MG,11,11,11,11,11,11,11,2,1,1
6680,MG,10,10,10,10,10,10,10,1,1,1
6681,MG,10,11,10,10,11,11,11,2,1,2
6682,MG,11,11,11,11,11,11,11,2,3,2
6683,MG,11,11,11,11,11,11,11,2,2,2
6684,MG,10,10,11,10,10,10,10,1,1,1
6685,MG,10,10,10,10,10,10,10,1,2,1
6686,MG,11,11,11,11,11,11,11,2,1,2
6687,MG,11,11,11,11,11,11,11,2,2,2
6688,MG,10,10,10,10,10,10,10,1,1,1
6689,MG,10,10,10,10,10,11,11,2,1,2
6690,MG,11,11,11,11,11,11,11,2,1,2
6691,MG,11,11,11,11,11,11,10,2,2,2
6692,MG,10,10,10,10,10,10,11,1,1,1
6693,MG,10,10,10,10,10,10,10,1,1,1
6694,MG,11,11,11,11,11,11,11,2,1,2
6695,MG,11,11,11,11,11,11,11,2,2,2
6696,MG,10,10,10,10,10,10,10,1,1,1
6697,MG,10,10,10,10,11,11,11,2,2,2
6698,MG,11,11,11,11,11,11,11,2,1,2
6699,MG,11,10,11,11,11,11,10,2,2,2
6700,MG,10,11,11,10,10,10,10,1,1,1
6701,MG,10,10,10,10,10,10,10,1,1,1
6702,MG,11,11,11,11,11,11,11,2,2,2
6703,MG,10,11,11,11,11,11,11,2,2,2
6704,MG,11,10,10,10,10,10,10,1,1,1
6705,MG,10,10,10,10,10,11,11,1,1,1
6706,MG,11,11,11,11,11,11,10,2,2,2
6707,MG,11,11,10,11,11,11,11,2,2,2
6708,MG,11,11,11,10,10,11,11,1,1,1
6709,MG,10,10,10,10,10,10,10,1,1,1
6710,MG,11,11,11,11,11,11,10,2,2,2
6711,MG,11,11,11,11,11,11,11,2,2,2
6712,MG,10,10,10,10,10,10,10,1,1,1
6713,MG,10,10,10,10,11,11,11,2,1,2
6714,MG,11,11,11,11,11,11,11,2,2,2
6715,MG,11,11,10,11,11,11,11,2,3,2
6716,MG,10,11,10,10,10,10,10,1,1,1
6717,MG,10,10,10,10,10,11,11,2,2,2
6718,MG,11,10,10,11,11,10,10,1,1,1
6719,MG,11,11,11,11,11,11,11,2,2,2
6720,MG,10,10,10,10,10,10,10,1,1,1
6721,MG,10,11,11,11,11,11,11,2,1,2
6722,MG,11,11,11,11,11,11,11,2,2,2
6723,MG,11,11,11,11,11,10,10,1,1,1
6724,MG,10,10,10,10,10,10,11,1,1,1
6725,MG,11,11,11,11,11,11,11,2,3,2
6726,MG,11,11,11,11,11,10,10,1,1,1
6727,MG,11,11,11,10,11,11,11,1,1,1
6728,MG,10,10,10,10,10,10,10,1,1,1
6729,MG,11,11,11,11,11,11,11,2,2,2
6730,MG,11,11,11,11,11,11,11,2,1,2
6731,MG,11,10,11,11,10,10,10,1,1,1
6732,MG,10,10,10,10,10,11,11,1,1,1
6733,MG,11,11,11,10,10,11,10,1,0,1
6734,MG,10,10,10,10,10,10,10,0,0,0
