,Application,Perf_node01_task_clock,Perf_node01_cpu_bus_cycles_,Perf_node01_cpu_cpu_cycles_,Perf_node01_msr_aperf_,Perf_node01_msr_mperf_,Perf_node01_msr_tsc_,Perf_node01_cpu_ref_cycles_,Perf_node01_power_energy_pkg_,Perf_node01_power_energy_ram_,Perf_node01_power_energy_total_
3707,EP,10,11,10,11,11,11,10,1,0,1
3708,EP,11,11,11,11,11,11,11,2,1,2
3709,EP,10,10,10,10,10,10,10,1,1,1
3710,EP,10,11,11,11,11,11,11,2,2,2
3711,EP,11,11,11,10,10,11,11,1,3,2
3712,EP,10,10,10,10,10,10,11,1,0,1
3713,EP,11,11,11,11,11,11,11,2,2,2
3714,EP,11,10,11,11,11,11,11,2,2,2
3715,EP,11,11,11,11,11,11,10,2,1,1
3716,EP,11,11,11,10,10,11,11,2,3,2
3717,EP,10,11,10,11,10,11,10,2,0,1
3718,EP,10,11,11,11,11,11,11,2,1,2
3719,EP,10,11,10,10,10,11,10,1,3,2
3720,EP,10,11,11,10,10,11,11,2,1,2
3721,EP,11,11,11,11,11,11,10,2,2,2
3722,EP,10,11,10,10,10,11,11,1,2,2
3723,EP,10,11,11,10,10,11,11,1,0,1
3724,EP,10,11,11,11,11,11,11,2,2,2
3725,EP,10,11,11,10,10,11,10,2,2,2
3726,EP,11,11,11,11,11,11,10,2,1,1
3727,EP,10,11,10,11,11,11,11,2,1,1
3728,EP,11,11,11,10,10,11,10,2,3,2
3729,EP,10,10,11,10,10,11,11,1,2,2
3730,EP,10,11,11,11,11,11,10,2,0,1
3731,EP,11,11,11,10,10,11,10,1,2,2
3732,EP,10,11,11,11,11,11,11,2,1,1
3733,EP,11,11,11,11,11,11,10,2,3,2
3734,EP,10,11,10,10,10,10,10,1,0,1
3735,EP,10,11,11,10,10,11,11,1,3,2
3736,EP,11,11,11,11,11,11,11,2,0,1
3737,EP,11,11,11,10,10,11,11,1,1,1
3738,EP,11,11,11,11,11,10,11,2,2,2
3739,EP,11,11,11,10,10,11,11,2,1,1
3740,EP,10,11,10,11,11,11,11,2,2,2
3741,EP,10,10,11,11,10,11,11,1,1,1
3742,EP,11,11,11,10,10,11,11,2,2,2
3743,EP,11,11,11,11,11,11,11,2,1,1
3744,EP,11,11,11,11,11,11,11,2,1,1
3745,EP,10,11,11,10,10,11,11,2,3,2
3746,EP,11,10,11,10,10,11,11,1,1,1
3747,EP,10,11,11,11,11,11,11,2,1,1
3748,EP,11,11,11,10,10,11,11,1,3,2
3749,EP,11,11,11,11,11,11,11,2,1,1
3750,EP,10,10,11,10,10,10,11,1,1,1
3751,EP,10,11,11,10,10,11,11,2,3,2
3752,EP,11,11,11,11,10,11,11,1,1,1
3753,EP,10,11,11,11,11,11,11,2,2,2
3754,EP,10,11,11,10,10,11,11,1,1,1
3755,EP,11,10,11,10,10,11,10,1,2,2
3756,EP,10,11,11,11,11,11,11,2,1,2
3757,EP,11,11,11,10,10,11,11,1,2,2
3758,EP,11,11,11,11,11,11,11,1,1,1
3759,EP,10,11,11,11,11,11,11,2,1,2
3760,EP,11,11,11,10,10,11,11,1,2,2
3761,EP,10,11,11,10,11,10,10,1,1,1
3762,EP,11,11,11,11,10,11,11,2,2,2
3763,EP,10,10,10,10,10,10,10,1,1,1
3764,EP,10,10,10,10,10,10,10,1,2,1
3765,EP,11,11,11,11,11,11,11,2,1,1
3766,EP,11,11,11,11,11,11,11,2,3,2
3767,EP,11,11,11,11,11,10,10,1,2,1
3768,EP,10,10,11,10,10,11,11,2,1,1
3769,EP,11,11,11,10,10,11,10,1,1,1
3770,EP,10,11,11,11,11,11,11,2,1,1
3771,EP,11,11,11,10,10,10,11,1,1,1
3772,EP,10,11,11,10,10,11,11,1,0,1
3773,EP,11,10,10,10,10,10,10,1,0,1
3774,EP,10,10,11,10,10,11,11,1,1,1
3775,EP,11,11,11,10,10,11,10,1,1,1
3776,EP,10,11,10,10,10,10,11,2,3,2
3777,EP,11,11,11,11,11,11,11,2,1,1
3778,EP,11,10,10,10,10,11,10,1,3,1
