,Application,Perf_node01_task_clock,Perf_node01_cpu_bus_cycles_,Perf_node01_cpu_cpu_cycles_,Perf_node01_msr_aperf_,Perf_node01_msr_mperf_,Perf_node01_msr_tsc_,Perf_node01_cpu_ref_cycles_,Perf_node01_power_energy_pkg_,Perf_node01_power_energy_ram_,Perf_node01_power_energy_total_
1654,CG,11,11,11,10,10,10,10,1,2,1
1655,CG,10,10,10,10,10,10,10,1,1,1
1656,CG,11,11,11,11,11,11,11,2,1,2
1657,CG,10,10,10,10,10,10,10,1,2,2
1658,CG,10,11,11,11,10,10,10,1,1,1
1659,CG,10,10,10,10,10,11,11,2,0,1
1660,CG,11,11,11,10,10,10,10,1,2,2
1661,CG,11,11,11,11,11,11,11,2,3,2
1662,CG,11,11,11,11,11,11,11,2,2,2
1663,CG,10,11,11,10,10,10,10,1,2,1
1664,CG,10,10,10,10,10,11,11,1,1,1
1665,CG,11,11,11,11,10,10,11,2,2,2
1666,CG,11,11,11,11,11,11,11,2,2,2
1667,CG,10,11,11,10,10,11,11,2,1,1
1668,CG,11,11,11,11,11,10,11,1,2,1
1669,CG,10,10,10,10,10,11,11,2,2,2
1670,CG,11,11,11,11,11,10,11,1,1,1
1671,CG,11,11,11,11,11,11,11,2,2,2
1672,CG,11,11,10,10,10,11,11,2,2,2
1673,CG,10,11,11,11,11,11,11,2,1,2
1674,CG,11,11,11,11,10,10,10,1,1,1
1675,CG,10,10,10,10,10,11,11,2,2,2
1676,CG,11,11,11,11,11,10,10,1,1,1
1677,CG,11,11,11,11,11,11,11,2,2,2
1678,CG,11,10,10,10,11,11,11,1,1,1
1679,CG,10,11,11,10,10,10,10,1,1,1
1680,CG,10,11,11,11,11,11,11,2,2,2
1681,CG,11,10,10,10,10,10,10,1,1,1
1682,CG,10,11,11,11,11,11,11,2,2,2
1683,CG,11,11,11,11,11,11,11,2,2,2
1684,CG,10,10,10,10,10,10,11,1,1,1
1685,CG,11,11,11,11,11,11,10,2,2,2
1686,CG,11,11,10,10,10,10,10,1,0,1
1687,CG,10,11,11,10,10,11,11,2,1,2
1688,CG,11,11,10,10,10,11,11,2,3,2
1689,CG,10,10,11,11,11,10,10,1,0,1
1690,CG,11,11,11,11,11,11,11,2,3,2
1691,CG,11,11,11,11,11,11,11,2,2,2
1692,CG,11,11,11,11,10,10,10,1,1,1
1693,CG,10,11,11,10,10,11,11,2,2,2
1694,CG,11,11,11,11,11,11,11,2,2,2
1695,CG,11,10,10,10,10,10,10,1,1,1
1696,CG,10,11,11,11,11,11,11,2,1,2
1697,CG,10,10,10,10,10,10,10,1,2,1
1698,CG,10,11,11,11,11,11,11,2,1,1
1699,CG,11,11,11,11,11,11,11,2,2,2
1700,CG,10,10,10,10,10,10,10,1,2,1
1701,CG,10,11,11,11,10,10,10,1,0,1
1702,CG,11,11,11,11,11,11,11,2,3,2
1703,CG,11,11,11,10,10,10,10,1,2,1
1704,CG,10,10,10,10,10,10,10,1,2,1
1705,CG,11,11,11,11,11,11,11,2,2,2
1706,CG,11,11,11,11,11,11,11,2,1,2
1707,CG,11,10,10,10,11,10,10,1,1,1
1708,CG,10,11,10,10,10,10,10,1,1,1
1709,CG,11,10,11,11,11,11,11,2,2,2
1710,CG,11,11,11,11,11,10,10,1,2,1
1711,CG,10,10,10,10,10,10,11,1,1,1
1712,CG,10,10,10,10,10,11,10,2,1,1
1713,CG,11,11,11,11,11,11,11,2,2,2
1714,CG,10,11,11,10,10,10,10,1,1,1
1715,CG,11,10,10,10,10,11,11,2,1,1
1716,CG,10,11,11,11,11,11,11,2,2,2
1717,CG,11,10,10,10,10,10,10,1,1,1
1718,CG,10,11,11,11,11,11,11,2,2,2
1719,CG,11,10,10,10,10,10,10,1,1,1
1720,CG,10,10,10,11,11,11,11,2,2,2
1721,CG,11,11,11,11,11,11,11,2,2,2
1722,CG,11,10,10,10,10,10,10,1,1,1
1723,CG,10,10,10,10,10,11,11,2,2,2
1724,CG,10,10,11,11,10,10,10,1,0,1
1725,CG,10,11,10,10,10,10,11,2,3,2
1726,CG,11,11,11,11,11,11,11,2,2,2
1727,CG,11,11,11,11,11,11,11,1,1,1
1728,CG,10,11,11,10,10,10,11,2,2,2
1729,CG,10,10,10,10,11,11,11,1,2,1
1730,CG,10,10,10,10,10,10,10,1,0,1
1731,CG,11,11,11,11,11,11,11,2,3,2
1732,CG,11,11,11,11,11,11,11,2,2,2
1733,CG,11,11,11,11,10,10,10,1,1,1
1734,CG,10,10,10,10,10,11,11,2,1,1
1735,CG,10,11,11,11,10,10,10,1,2,1
1736,CG,11,11,11,11,11,11,11,2,2,2
1737,CG,10,11,11,10,10,10,11,2,1,2
1738,CG,10,10,10,10,10,10,10,1,1,1
1739,CG,11,10,10,10,10,10,11,2,2,2
1740,CG,10,10,10,11,10,10,10,1,2,1
1741,CG,11,11,11,11,11,11,11,2,2,2
1742,CG,10,10,10,10,10,10,10,1,1,1
1743,CG,10,11,11,11,11,11,11,1,1,1
1744,CG,10,10,10,10,10,11,11,2,2,2
1745,CG,11,11,11,11,10,10,10,1,1,1
1746,CG,10,11,11,11,11,11,11,2,1,1
1747,CG,10,11,11,10,10,11,10,1,1,1
1748,CG,11,11,11,11,11,10,11,1,3,2
1749,CG,10,10,10,10,10,11,11,1,2,1
1750,CG,11,11,11,11,10,10,10,1,1,1
1751,CG,11,11,11,11,11,11,11,2,2,2
1752,CG,10,11,11,11,11,11,11,2,1,2
1753,CG,11,11,11,10,10,11,11,2,2,2
1754,CG,10,10,11,11,11,10,10,1,1,1
1755,CG,11,11,11,10,10,11,11,2,2,2
1756,CG,10,10,10,10,10,11,10,1,1,1
1757,CG,11,11,11,11,10,10,10,1,1,1
1758,CG,10,10,10,10,10,10,11,2,2,2
1759,CG,11,10,10,11,11,11,11,1,1,1
1760,CG,11,11,11,11,11,11,11,2,2,2
1761,CG,10,10,10,10,10,10,10,1,1,1
1762,CG,11,11,11,10,10,10,10,1,1,1
1763,CG,10,10,10,10,10,10,11,1,1,1
1764,CG,11,11,11,11,11,11,11,1,1,1
1765,CG,10,11,11,11,11,11,11,2,1,2
1766,CG,10,11,11,11,11,11,10,1,2,2
1767,CG,11,11,10,10,10,11,11,2,1,2
1768,CG,10,11,11,11,11,11,11,2,2,2
1769,CG,11,10,10,10,10,10,10,1,1,1
1770,CG,10,11,11,10,10,11,11,2,2,2
1771,CG,11,11,11,11,11,11,10,1,1,1
1772,CG,10,10,10,10,10,10,11,2,1,1
1773,CG,10,11,11,11,11,11,10,1,1,1
1774,CG,11,11,11,11,11,11,11,1,2,1
1775,CG,10,11,11,11,11,11,11,2,2,2
1776,CG,11,11,11,11,11,10,10,1,2,1
1777,CG,10,10,10,10,10,10,11,2,1,2
1778,CG,10,11,11,11,11,10,11,1,1,1
1779,CG,11,11,11,11,11,11,11,2,2,2
1780,CG,10,11,11,10,10,10,11,2,1,1
1781,CG,11,11,11,11,11,11,10,1,2,1
1782,CG,10,10,10,10,10,11,11,2,1,2
1783,CG,11,11,11,11,11,11,11,1,2,2
1784,CG,11,11,11,11,11,11,11,2,2,2
1785,CG,10,11,11,10,10,10,11,2,1,1
1786,CG,11,11,11,11,11,11,11,1,2,2
1787,CG,10,10,10,10,11,11,11,2,1,1
1788,CG,10,11,10,10,10,10,10,1,1,1
1789,CG,11,11,11,11,11,11,11,2,2,2
1790,CG,10,11,11,11,11,11,11,2,1,2
1791,CG,11,11,11,10,10,11,11,2,2,2
1792,CG,10,10,10,10,11,11,10,1,1,1
1793,CG,10,10,10,10,10,10,10,1,1,1
1794,CG,11,11,11,11,11,11,11,2,2,2
1795,CG,11,11,10,10,10,11,11,2,1,1
1796,CG,11,11,11,11,11,10,11,1,2,1
1797,CG,10,10,10,10,10,11,11,2,2,2
1798,CG,11,11,11,10,10,10,10,1,2,1
1799,CG,11,11,11,11,11,11,11,2,1,2
1800,CG,10,10,10,10,10,10,10,1,1,1
1801,CG,11,11,11,11,11,11,11,2,2,2
1802,CG,10,10,10,10,10,10,10,1,1,1
1803,CG,10,10,10,10,11,11,11,2,1,2
1804,CG,11,11,11,11,11,11,11,2,2,2
1805,CG,11,10,10,10,10,10,10,1,1,1
1806,CG,10,10,11,11,11,11,11,2,2,2
1807,CG,11,11,11,11,11,11,11,2,2,2
1808,CG,10,10,10,10,10,10,10,1,1,1
1809,CG,11,11,11,10,10,10,10,1,2,1
1810,CG,10,10,10,10,11,11,11,1,1,1
1811,CG,11,11,11,10,10,10,11,2,1,1
1812,CG,11,11,11,11,11,11,11,1,2,2
1813,CG,10,11,11,11,11,11,11,2,2,2
1814,CG,11,11,11,11,10,11,11,2,2,2
1815,CG,10,10,10,11,11,10,10,1,1,1
1816,CG,10,11,10,10,10,10,11,2,1,1
1817,CG,11,11,11,11,11,11,11,1,2,1
1818,CG,11,11,11,11,11,11,11,2,1,2
1819,CG,11,10,10,10,11,11,11,2,2,2
1820,CG,10,11,11,11,10,10,10,1,2,1
1821,CG,11,11,10,10,10,11,11,2,0,1
1822,CG,11,11,11,11,11,11,11,2,3,2
1823,CG,11,11,11,10,10,10,10,1,1,1
1824,CG,10,10,10,10,10,10,11,1,1,1
1825,CG,11,11,11,11,11,11,11,2,1,2
1826,CG,10,10,10,10,10,10,10,1,2,1
1827,CG,10,11,11,11,11,11,11,1,0,1
