,Application,variable,Perf_node01_power_energy_pkg_,Perf_node01_power_energy_ram_,Perf_node01_power_energy_total_
8672,SP,126,2,2,2
8673,SP,0,1,1,1
8674,SP,127,2,2,2
8675,SP,127,2,2,2
8676,SP,0,1,1,1
8677,SP,127,2,2,2
8678,SP,0,1,1,1
8679,SP,126,2,2,2
8680,SP,1,1,1,1
8681,SP,126,2,3,2
8682,SP,127,2,2,2
8683,SP,0,1,1,1
8684,SP,126,2,2,2
8685,SP,1,1,1,1
8686,SP,120,2,2,2
8687,SP,7,1,1,1
8688,SP,124,2,2,2
8689,SP,127,2,2,2
8690,SP,0,0,1,1
8691,SP,126,2,2,2
8692,SP,15,1,1,1
8693,SP,96,2,2,2
8694,SP,127,2,2,2
8695,SP,96,2,2,2
8696,SP,127,2,2,2
8697,SP,0,1,1,1
8698,SP,100,2,2,2
8699,SP,127,2,2,2
8700,SP,1,1,1,1
8701,SP,63,2,2,2
8702,SP,0,1,1,1
8703,SP,127,2,2,2
8704,SP,0,0,0,0
8705,SP,127,2,2,2
8706,SP,0,1,1,1
8707,SP,127,2,2,2
8708,SP,127,2,2,2
8709,SP,0,1,1,1
8710,SP,127,2,2,2
8711,SP,0,0,1,0
8712,SP,126,3,3,3
8713,SP,7,1,1,1
8714,SP,112,2,2,2
8715,SP,127,2,2,2
8716,SP,0,1,1,1
8717,SP,100,2,2,2
8718,SP,127,2,2,2
8719,SP,0,1,1,1
8720,SP,127,2,2,2
8721,SP,0,1,1,1
8722,SP,127,2,2,2
8723,SP,0,1,1,1
8724,SP,96,2,2,2
8725,SP,127,2,2,2
8726,SP,1,1,1,1
8727,SP,126,2,2,2
8728,SP,96,1,2,1
8729,SP,127,2,2,2
8730,SP,0,1,1,1
8731,SP,96,2,2,2
8732,SP,64,1,2,1
8733,SP,127,2,2,2
8734,SP,127,2,2,2
8735,SP,64,1,1,1
8736,SP,103,2,2,2
8737,SP,0,1,1,1
8738,SP,127,2,2,2
8739,SP,0,1,1,1
8740,SP,127,2,2,2
8741,SP,127,2,2,2
8742,SP,0,1,1,1
8743,SP,127,2,2,2
8744,SP,0,0,0,0
8745,SP,127,2,2,2
8746,SP,0,1,1,1
8747,SP,126,2,3,2
8748,SP,127,2,2,2
8749,SP,0,1,1,1
8750,SP,118,2,2,2
8751,SP,1,1,1,1
8752,SP,112,2,2,2
8753,SP,31,1,1,1
8754,SP,96,2,2,2
8755,SP,127,2,2,2
8756,SP,0,0,0,0
8757,SP,126,2,2,2
8758,SP,0,1,1,1
8759,SP,127,2,2,2
8760,SP,127,2,2,2
8761,SP,0,1,1,1
8762,SP,127,2,2,2
8763,SP,0,0,1,1
8764,SP,127,3,2,3
8765,SP,1,1,1,1
8766,SP,124,2,3,3
8767,SP,127,2,2,2
8768,SP,1,1,1,1
8769,SP,116,2,2,2
8770,SP,15,1,1,1
8771,SP,96,2,2,2
8772,SP,127,2,1,2
8773,SP,32,1,2,2
8774,SP,127,2,2,2
8775,SP,0,1,1,1
8776,SP,96,2,2,2
8777,SP,127,2,2,2
8778,SP,0,1,1,1
8779,SP,95,1,2,1
8780,SP,120,2,2,2
8781,SP,127,2,2,2
8782,SP,0,1,1,1
8783,SP,102,2,2,2
8784,SP,127,2,2,2
8785,SP,64,1,1,1
8786,SP,31,1,1,1
8787,SP,96,2,2,2
8788,SP,127,2,2,2
8789,SP,0,1,1,1
8790,SP,126,2,2,2
8791,SP,31,1,1,1
8792,SP,0,1,2,1
8793,SP,127,2,1,2
8794,SP,0,1,2,1
8795,SP,127,2,2,2
8796,SP,0,1,1,1
8797,SP,112,2,2,2
8798,SP,0,1,1,1
8799,SP,127,2,2,2
8800,SP,127,2,2,2
8801,SP,0,1,1,1
8802,SP,127,2,1,2
8803,SP,0,1,1,1
8804,SP,127,2,2,2
8805,SP,0,1,1,1
8806,SP,126,2,2,2
8807,SP,127,2,2,2
8808,SP,0,1,1,1
8809,SP,118,2,2,2
8810,SP,31,1,1,1
8811,SP,112,2,2,2
8812,SP,1,1,1,1
8813,SP,126,2,2,2
8814,SP,127,2,2,2
8815,SP,0,1,1,1
8816,SP,126,2,2,2
8817,SP,15,1,1,1
8818,SP,64,2,2,2
8819,SP,127,2,2,2
8820,SP,0,1,2,1
8821,SP,127,2,2,2
8822,SP,1,1,1,1
8823,SP,96,2,2,2
8824,SP,64,1,2,1
8825,SP,63,2,2,2
8826,SP,127,2,2,2
8827,SP,0,1,1,1
8828,SP,103,2,2,2
8829,SP,0,1,1,1
8830,SP,103,2,2,2
8831,SP,0,1,1,1
8832,SP,127,2,3,2
8833,SP,127,2,2,2
8834,SP,0,1,1,1
8835,SP,127,2,2,2
8836,SP,0,0,0,0
8837,SP,127,3,3,3
8838,SP,0,1,1,1
8839,SP,126,2,3,2
8840,SP,127,2,2,2
8841,SP,0,1,1,1
8842,SP,126,2,2,2
8843,SP,1,1,1,1
8844,SP,112,2,2,2
8845,SP,31,1,1,1
8846,SP,0,1,1,1
8847,SP,127,2,2,2
8848,SP,0,0,0,0
8849,SP,127,2,2,2
8850,SP,0,1,1,1
8851,SP,127,2,2,2
8852,SP,127,2,2,2
8853,SP,0,1,1,1
8854,SP,127,2,2,2
8855,SP,0,1,1,1
8856,SP,126,2,2,2
8857,SP,1,1,1,1
8858,SP,126,2,3,2
8859,SP,127,2,1,2
8860,SP,0,1,1,1
8861,SP,126,2,2,2
8862,SP,3,1,1,1
8863,SP,112,2,2,2
8864,SP,127,2,2,2
8865,SP,96,1,1,1
8866,SP,127,2,2,2
8867,SP,0,1,1,1
8868,SP,96,2,2,2
8869,SP,127,2,2,2
8870,SP,65,1,1,1
8871,SP,127,2,2,2
8872,SP,0,1,1,1
8873,SP,127,2,3,2
8874,SP,0,1,1,1
8875,SP,112,2,2,2
8876,SP,127,2,2,2
8877,SP,0,1,1,1
8878,SP,127,2,2,2
8879,SP,64,2,1,1
8880,SP,127,2,2,2
8881,SP,0,0,0,0
8882,SP,127,2,2,2
8883,SP,0,1,1,1
8884,SP,127,2,3,2
8885,SP,127,2,2,2
8886,SP,0,1,1,1
8887,SP,127,2,2,2
8888,SP,0,0,1,1
8889,SP,127,3,2,2
8890,SP,29,1,1,1
8891,SP,15,1,1,1
8892,SP,0,1,1,1
8893,SP,96,2,1,2
8894,SP,39,2,2,2
8895,SP,0,1,1,1
8896,SP,96,2,2,2
8897,SP,89,1,2,1
8898,SP,97,2,2,2
8899,SP,127,2,2,2
8900,SP,0,1,1,1
8901,SP,127,2,2,2
8902,SP,0,0,0,0
8903,SP,127,3,3,3
8904,SP,7,1,1,1
8905,SP,120,2,2,2
8906,SP,127,2,2,2
8907,SP,7,1,1,1
8908,SP,96,2,2,2
8909,SP,127,1,2,1
8910,SP,0,1,1,1
8911,SP,7,1,1,1
8912,SP,126,2,2,2
8913,SP,47,2,2,2
8914,SP,0,1,1,1
8915,SP,118,2,2,2
8916,SP,31,1,1,1
8917,SP,96,2,2,2
8918,SP,7,1,1,1
8919,SP,120,2,2,2
8920,SP,127,2,2,2
8921,SP,0,1,1,1
8922,SP,112,2,2,2
8923,SP,31,1,1,1
8924,SP,96,2,2,2
8925,SP,127,2,2,2
8926,SP,0,1,1,1
8927,SP,127,2,2,2
8928,SP,0,1,1,1
8929,SP,96,2,2,2
8930,SP,63,1,1,1
8931,SP,0,1,1,1
8932,SP,31,1,1,1
8933,SP,124,2,2,2
8934,SP,127,2,2,2
8935,SP,0,1,1,1
8936,SP,100,2,2,2
8937,SP,63,1,2,1
8938,SP,96,2,2,2
8939,SP,127,2,1,2
8940,SP,0,1,1,1
8941,SP,127,2,2,2
8942,SP,0,0,0,0
8943,SP,127,3,3,3
8944,SP,31,1,1,1
8945,SP,126,2,2,2
8946,SP,127,2,2,2
8947,SP,0,1,1,1
8948,SP,116,2,2,2
8949,SP,31,1,1,1
8950,SP,0,2,2,2
8951,SP,127,2,2,2
8952,SP,96,2,2,2
8953,SP,63,2,2,2
8954,SP,0,1,1,1
8955,SP,98,2,2,2
8956,SP,127,1,2,2
8957,SP,0,1,1,1
8958,SP,31,1,1,1
8959,SP,112,2,2,2
8960,SP,127,2,2,2
8961,SP,0,1,1,1
8962,SP,96,2,2,2
8963,SP,63,1,1,1
8964,SP,112,2,2,2
8965,SP,7,1,1,1
8966,SP,96,2,1,2
8967,SP,127,2,3,2
8968,SP,0,1,1,1
8969,SP,126,2,2,2
8970,SP,31,1,1,1
8971,SP,0,1,2,1
8972,SP,127,2,1,2
8973,SP,32,2,1,2
8974,SP,127,2,2,2
8975,SP,0,1,1,1
8976,SP,96,2,2,2
8977,SP,63,2,2,2
8978,SP,0,1,1,1
8979,SP,127,2,2,2
8980,SP,96,1,1,1
8981,SP,127,2,2,2
8982,SP,8,1,1,1
8983,SP,64,2,2,2
8984,SP,0,1,1,1
8985,SP,127,2,2,2
8986,SP,127,2,2,2
8987,SP,0,1,1,1
8988,SP,127,2,2,2
8989,SP,0,0,1,0
8990,SP,127,2,2,2
8991,SP,0,1,1,1
8992,SP,127,2,2,2
8993,SP,127,2,2,2
8994,SP,0,1,1,1
8995,SP,127,2,2,2
8996,SP,0,1,1,1
8997,SP,120,2,2,2
8998,SP,15,1,1,1
8999,SP,112,2,2,2
9000,SP,127,2,2,2
9001,SP,0,1,1,1
9002,SP,96,2,2,2
9003,SP,127,1,1,1
9004,SP,0,1,2,1
9005,SP,127,2,2,2
9006,SP,96,1,1,1
9007,SP,127,2,2,2
9008,SP,0,1,1,1
9009,SP,0,2,2,2
9010,SP,95,1,1,1
9011,SP,96,2,2,2
9012,SP,7,1,1,1
9013,SP,112,2,2,2
9014,SP,127,2,1,2
9015,SP,0,1,1,1
9016,SP,127,3,2,3
9017,SP,95,1,1,1
9018,SP,0,1,2,1
9019,SP,63,2,2,2
9020,SP,32,2,2,2
9021,SP,127,2,2,2
9022,SP,0,0,0,0
9023,SP,126,2,2,2
9024,SP,31,1,2,1
9025,SP,96,2,1,2
9026,SP,127,2,1,2
9027,SP,28,1,1,1
9028,SP,34,2,2,2
9029,SP,127,1,2,1
9030,SP,0,2,1,2
9031,SP,15,1,1,1
9032,SP,96,2,2,2
9033,SP,7,1,1,1
9034,SP,112,2,1,2
9035,SP,127,2,2,2
9036,SP,1,1,1,1
9037,SP,127,2,2,2
9038,SP,0,0,1,0
9039,SP,126,2,2,2
9040,SP,1,1,1,1
9041,SP,112,2,2,2
9042,SP,127,2,2,2
9043,SP,1,1,1,1
9044,SP,127,2,2,2
9045,SP,75,1,1,1
9046,SP,96,2,2,2
9047,SP,7,1,1,1
9048,SP,126,2,2,2
9049,SP,127,2,2,2
9050,SP,0,1,1,1
9051,SP,103,2,1,2
9052,SP,0,1,1,1
9053,SP,126,2,3,2
9054,SP,1,1,1,1
9055,SP,120,2,2,2
9056,SP,127,2,2,2
9057,SP,0,1,1,1
9058,SP,126,2,2,2
9059,SP,5,1,1,1
9060,SP,96,2,1,2
9061,SP,95,1,1,1
9062,SP,126,2,2,2
9063,SP,127,2,2,2
9064,SP,1,1,1,1
9065,SP,64,2,2,2
9066,SP,1,1,1,1
9067,SP,96,2,2,2
9068,SP,31,1,1,1
9069,SP,122,2,2,2
9070,SP,127,2,2,2
9071,SP,1,1,1,1
9072,SP,96,2,1,2
9073,SP,31,1,1,1
9074,SP,0,2,1,2
9075,SP,63,2,2,2
9076,SP,120,2,2,2
9077,SP,127,2,2,2
9078,SP,0,1,1,1
9079,SP,114,2,2,2
9080,SP,127,2,2,2
9081,SP,0,1,1,1
9082,SP,127,2,2,2
9083,SP,0,1,1,1
9084,SP,127,2,2,2
9085,SP,0,0,1,1
9086,SP,126,2,2,2
9087,SP,0,1,1,1
9088,SP,127,3,3,3
9089,SP,127,2,2,2
9090,SP,0,1,1,1
9091,SP,127,2,2,2
9092,SP,0,0,1,1
9093,SP,127,2,2,2
9094,SP,0,1,1,1
9095,SP,126,2,2,2
9096,SP,127,2,2,2
9097,SP,0,1,1,1
9098,SP,36,2,1,2
9099,SP,11,1,1,1
9100,SP,96,2,1,2
9101,SP,31,1,1,1
9102,SP,120,2,2,2
9103,SP,127,2,2,2
9104,SP,0,1,1,1
9105,SP,114,2,2,2
9106,SP,127,1,1,1
9107,SP,64,1,1,1
9108,SP,31,1,1,1
9109,SP,120,2,2,2
9110,SP,127,2,2,2
9111,SP,0,0,0,0
9112,SP,112,2,2,2
9113,SP,31,1,1,1
9114,SP,0,1,0,1
9115,SP,111,2,1,2
