,Application,branch_misses,cache_misses,cache_references,instructions,cpu_clock,minor_faults,page_faults,task_clock,L1_icache_loads,LLC_loads,branch_load_misses,iTLB_load_misses,iTLB_loads,cpu_branch_misses_,cpu_bus_cycles_,cpu_cache_misses_,cpu_cache_references_,cpu_cpu_cycles_,cpu_instructions_,msr_aperf_,msr_mperf_,msr_tsc_,cpu_ref_cycles_,power_energy_ram_,power_energy_pkg_,total
2006,CG,98531680,839193850,1621633738,21221850188.0,310050.13,2,2,311790.37,10523162174,11809318577,97907121,43559662,18797820936.0,96999945,196000000000.0,873132843,1567962721,212000000000.0,18726792873.0,252843286,235678688,433000000000.0,197000000000.0,28.12,181.43,209.55
2007,CG,97839539,827593212,1621794085,21547592675.0,310811.35,2,2,311010.24,11894554276,12091915278,97784250,45614163,21733130919.0,98645591,196000000000.0,814116173,1603829349,212000000000.0,21592028872.0,252744458,235935406,435000000000.0,198000000000.0,23.22,181.7,204.92
2008,CG,95832650,893392501,1578355448,18309613690.0,311408.46,4,4,311938.71,10456243726,11858486940,95750681,44637226,19465523956.0,97716244,197000000000.0,845526060,1588673867,213000000000.0,20480390270.0,252808872,235354392,432000000000.0,197000000000.0,28.11,181.85,209.95999999999998
2009,CG,100943268,828620713,1628967200,21976280384.0,310717.39,6276,6278,310968.22,11934815245,11989230658,103640080,44523279,20803836579.0,99305742,197000000000.0,846803963,1585355723,212000000000.0,20124014562.0,254251168,238064288,440000000000.0,200000000000.0,29.74,184.05,213.79000000000002
2010,CG,101528304,858467229,1623071897,20784612647.0,312263.22,1774,1772,312641.7,11934379018,12196818391,102338869,47858378,22109373690.0,102870870,197000000000.0,814874934,1610702499,213000000000.0,21918061482.0,253146252,236110700,434000000000.0,198000000000.0,29.24,182.36,211.60000000000002
2011,CG,96272550,865881791,1599472301,19835678487.0,312512.14,13755,13764,311557.35,10505829768,11906585189,97567611,43671353,18835351950.0,97458485,197000000000.0,879685472,1570652867,213000000000.0,18966497909.0,254793831,238173278,440000000000.0,200000000000.0,25.71,183.7,209.41
2012,CG,104137067,842389647,1675328809,22720815346.0,315124.66,12329,12329,314566.49,12419524546,12475612759,104350241,49313202,22659864045.0,104045574,198000000000.0,823300277,1637676675,214000000000.0,22687744030.0,253793003,236456164,435000000000.0,198000000000.0,27.35,182.25,209.6
2013,CG,96238143,885773931,1582716435,18945543845.0,312704.82,18270,18261,308910.88,12124154464,12110187030,102574670,47870038,22267996846.0,100337070,196000000000.0,808073021,1620493891,211000000000.0,22293522510.0,251426979,234670534,433000000000.0,197000000000.0,28.25,181.8,210.05
2014,CG,102783307,818870926,1636404583,22458019417.0,307689.54,27590,27614,311100.73,10861756548,11939681173,100169019,45103088,19732596484.0,99435473,196000000000.0,867721910,1570681272,211000000000.0,19489332476.0,251672632,234893498,433000000000.0,197000000000.0,26.31,180.97,207.28
2015,CG,105032517,815654449,1660920918,23498833310.0,310334.1,35502,35586,310496.42,12956536977,12394484979,107390408,49548250,23342737131.0,103223992,197000000000.0,806462373,1645529961,212000000000.0,23434104239.0,251720987,234969266,434000000000.0,198000000000.0,28.46,182.7,211.16
2016,CG,95294293,883962030,1583179745,19165149892.0,310906.7,30928,30827,311087.63,10749599436,11981051680,96294571,41795375,19271399340.0,94186186,196000000000.0,865895888,1583584989,212000000000.0,19487672810.0,253514570,237025026,436000000000.0,198000000000.0,29.29,182.05,211.34
2017,CG,100122626,822411189,1636319903,22167931706.0,311101.97,1283,1276,310827.72,12305733460,12113228649,101302180,48704712,22512094712.0,99602389,196000000000.0,815155148,1611778185,212000000000.0,21683742000.0,251389277,234190404,433000000000.0,197000000000.0,28.93,182.28,211.21
2018,CG,94629717,884537494,1570643176,18585751084.0,312983.07,17343,17343,309046.5,11676623050,11980363169,97599451,44517630,21782894746.0,96831433,196000000000.0,806415525,1594137880,211000000000.0,21861282987.0,251284135,234565058,432000000000.0,197000000000.0,26.79,181.18,207.97
2019,CG,95918777,824893729,1615565480,21408335635.0,307016.17,3,3,311095.39,10492577547,11711012275,95795775,41749908,18333373423.0,95046822,195000000000.0,870947869,1549982355,211000000000.0,18419325539.0,252154033,235328534,434000000000.0,197000000000.0,29.27,181.23,210.5
2020,CG,98288973,829981787,1624454567,21566447908.0,310619.64,7,7,310879.3,11922183900,12052855547,100465723,47684655,21745199817.0,100013824,196000000000.0,815244879,1599722597,213000000000.0,21675448344.0,253261190,236381138,435000000000.0,199000000000.0,29.39,183.27,212.66000000000003
