,Application,branch_misses,cache_misses,cache_references,instructions,cpu_clock,minor_faults,page_faults,task_clock,L1_icache_loads,LLC_loads,branch_load_misses,iTLB_load_misses,iTLB_loads,cpu_branch_misses_,cpu_bus_cycles_,cpu_cache_misses_,cpu_cache_references_,cpu_cpu_cycles_,cpu_instructions_,msr_aperf_,msr_mperf_,msr_tsc_,cpu_ref_cycles_,power_energy_ram_,power_energy_pkg_,total
8179,SP,101623722,281793254,1538422475,32679779712.0,369410.63,285,284,371204.66,15514429709,13581119912,100591805,66549500,35327049982.0,99281745,240000000000.0,295646904,1557002530,261000000000.0,36825131165.0,322073531,302148294,534000000000.0,255000000000.0,35.58,247.54,283.12
8180,SP,111394944,295379071,1400042263,42560521392.0,375495.95,1805,1805,366829.53,17861438066,11457700235,103288050,53679091,40397524602.0,101787797,228000000000.0,281161101,1351162102,247000000000.0,40155008149.0,303885291,281793302,489000000000.0,234000000000.0,32.25,222.33,254.58
8181,SP,100900017,263766785,1485124914,32927831898.0,351093.79,526,526,352820.0,14628499697,13073455567,99500642,64041841,32695328905.0,100622622,225000000000.0,278187036,1506890983,245000000000.0,32518082342.0,300305171,280622804,498000000000.0,241000000000.0,32.77,229.76,262.53
8182,SP,100938626,261258768,1417620679,40710416495.0,358003.94,1402,1402,362325.58,18723026759,11919984592,104037065,58704440,41720170368.0,104092336,230000000000.0,268696075,1376316827,252000000000.0,41925848869.0,311036930,290441382,507000000000.0,240000000000.0,32.7,231.41,264.11
8183,SP,109454596,288731511,1378868962,36361049913.0,361472.62,1123,1123,358514.91,15722939246,12326864219,104716262,61154635,34632703157.0,102383024,224000000000.0,293486862,1451186137,245000000000.0,34755929222.0,303031684,282939944,499000000000.0,227000000000.0,32.9,227.92,260.82
8184,SP,88735342,270560220,1413583557,34989358418.0,364120.17,182,221,370723.52,15137983160,12296743703,89232344,57501496,35497993390.0,91697733,238000000000.0,287883063,1389175107,260000000000.0,35885878926.0,320332705,298099116,519000000000.0,235000000000.0,34.86,238.66,273.52
8185,SP,113213391,281502745,1474994683,44003463270.0,364666.03,2173,2160,358527.78,19852822876,12245686661,114757262,59169351,44129949897.0,112447953,224000000000.0,260321374,1538787579,244000000000.0,43386548027.0,301920368,282349200,501000000000.0,225000000000.0,33.52,229.17,262.69
8186,SP,98606792,279640574,1536120112,33191311466.0,362169.59,279,253,366534.5,14711592952,12966783610,96370326,62649462,33888947452.0,95119302,234000000000.0,284433538,1501714811,256000000000.0,35031875057.0,313588030,294035938,522000000000.0,233000000000.0,34.73,242.11,276.84000000000003
8187,SP,119835318,294908280,1421045632,46635297192.0,368206.39,2098,2098,355555.49,19979083908,11216648873,116163371,65490530,45034375687.0,117061363,222000000000.0,268891690,1400579987,240000000000.0,44225396952.0,297262226,275568146,478000000000.0,204000000000.0,31.55,218.27,249.82000000000002
8188,SP,104922501,257678660,1513285074,35688271212.0,344991.99,599,599,351489.78,15903202611,12685284075,102872863,66433799,35407768882.0,105552417,223000000000.0,268167471,1520233575,241000000000.0,35311870166.0,299871316,280496748,497000000000.0,227000000000.0,32.05,229.65,261.7
8189,SP,91107924,264686680,1367104709,37122542026.0,347924.06,1284,1284,344734.9,16897553300,11451827766,92742624,50948233,38326312634.0,93021487,219000000000.0,255187013,1340164744,234000000000.0,39305377274.0,294146756,274648052,485000000000.0,220000000000.0,32.02,221.98,254.0
8190,SP,150505229,252299078,1697810464,53506883948.0,357487.79,1104,1107,365281.95,23963189193,13573844874,156499870,94897129,50508606675.0,155210007,230000000000.0,284558491,1712820516,243000000000.0,51027023498.0,308406049,287577248,507000000000.0,232000000000.0,32.88,233.03,265.91
8191,SP,100325264,272815104,1474071126,35610549674.0,366269.09,2612,2609,375769.95,15806676769,13010432267,90237236,61416019,36888748555.0,92672710,239000000000.0,287094611,1448410810,254000000000.0,37490769210.0,321608083,300414002,528000000000.0,247000000000.0,35.18,244.04,279.21999999999997
8192,SP,144827664,277012372,1657663183,53305771645.0,373640.48,2043,2077,358698.36,24793787075,13175159805,146813181,83642666,55025758997.0,155429820,223000000000.0,259862383,1725156650,238000000000.0,56018146309.0,300216529,279372842,492000000000.0,230000000000.0,32.23,226.74,258.97
8193,SP,108997666,260533843,1547671447,35890427250.0,352666.73,491,457,358949.24,15494343909,13405205532,100778495,67410520,35139188699.0,100142264,229000000000.0,275485199,1531495354,248000000000.0,35316003093.0,306391437,286578838,509000000000.0,235000000000.0,33.78,235.57,269.35
8194,SP,101910243,259769633,1328420290,40789244962.0,356321.98,1511,1511,333107.31,17528156849,10234328137,105632854,59776978,39708952379.0,104778677,204000000000.0,235918193,1229998497,219000000000.0,39748223600.0,271981588,251623918,434000000000.0,197000000000.0,27.7,196.02,223.72
8195,SP,130873853,241350669,1512715281,44978507899.0,314794.08,644,644,333256.73,20705381931,12705682202,130027895,76394664,44450227205.0,125397177,216000000000.0,265700752,1594252624,231000000000.0,44999797647.0,293319362,275942086,495000000000.0,226000000000.0,32.69,228.93,261.62
8196,SP,83628582,260532507,1376658966,34304692535.0,360077.18,716,948,362728.46,14553080545,11709714555,88923251,52423150,34114927440.0,87980053,231000000000.0,280155271,1303221026,248000000000.0,34147552221.0,309972027,288214920,500000000000.0,229000000000.0,32.39,228.99,261.38
8197,SP,136167590,267658757,1618646316,50803260058.0,351864.32,19799,20329,348512.05,23656238534,13251473854,135138259,80126077,51509830947.0,140592949,220000000000.0,251072866,1691868503,239000000000.0,52200359852.0,297851173,279609246,501000000000.0,232000000000.0,32.11,230.3,262.41
8198,SP,99930770,278553465,1569839170,35234988445.0,363198.49,18855,18097,363178.69,15705262450,13012053773,100557222,65726344,36111729529.0,100403729,232000000000.0,277796336,1537431285,251000000000.0,36841590599.0,310685653,291125058,517000000000.0,245000000000.0,34.8,240.07,274.87
8199,SP,123978093,280166973,1453050714,48110749874.0,360445.1,12734,12876,349676.77,20815611830,11142757298,132831556,73599053,46356250590.0,127667063,217000000000.0,263328616,1416999119,233000000000.0,47309277140.0,289190698,267737008,464000000000.0,213000000000.0,30.72,211.38,242.1
8200,SP,108022003,254646787,1496285040,37578470309.0,341365.22,50822,51323,354431.75,16596478864,12913314733,106725104,69643017,36745977709.0,107186480,227000000000.0,268890642,1565652501,245000000000.0,37214551886.0,304983227,285055778,503000000000.0,234000000000.0,33.84,232.73,266.57
8201,SP,93687785,270611189,1396433492,37112575542.0,351387.54,49102,48874,345466.07,16337312122,11564422751,91764586,52151387,38245925901.0,93075573,221000000000.0,254446966,1325507035,238000000000.0,38978743169.0,295747176,276363612,487000000000.0,224000000000.0,32.6,223.15,255.75
8202,SP,140571908,255649980,1629589066,51809741859.0,354308.7,84593,85897,363262.24,22933098329,13253014618,145436116,92016072,49521297315.0,148766003,229000000000.0,276046658,1625009816,245000000000.0,50033618905.0,307708811,287120960,504000000000.0,228000000000.0,31.56,230.46,262.02
8203,SP,96505224,277470040,1502892752,35322422317.0,368586.38,114738,113883,376482.86,15489624928,13449617576,91262507,61668492,37016993404.0,92855769,242000000000.0,275780766,1492663353,262000000000.0,37377046920.0,324613015,303270212,532000000000.0,245000000000.0,35.19,245.79,280.98
8204,SP,118547835,289043847,1451427174,45973524072.0,372457.97,74935,76295,357417.67,19940583346,12341316983,119273693,62918899,45948578252.0,119193443,223000000000.0,264352756,1486064156,242000000000.0,47161114432.0,300357644,280040544,493000000000.0,232000000000.0,31.97,226.01,257.98
8205,SP,100272087,270792829,1539423058,33937372300.0,356588.4,233309,235958,365562.02,15510188426,14274241945,104049945,71602764,34633065574.0,103395290,235000000000.0,283799770,1580079907,257000000000.0,35460162840.0,315159796,295132082,523000000000.0,249000000000.0,34.59,241.82,276.40999999999997
8206,SP,103821535,273392907,1351497354,41890795873.0,369311.25,56438,51637,352683.36,16443197052,10212738691,96682079,52822850,37667735720.0,98107514,219000000000.0,267623887,1170854449,239000000000.0,37391215975.0,292807117,271590452,469000000000.0,222000000000.0,30.71,211.85,242.56
8207,SP,98209153,277796641,1357066088,31653870526.0,337812.48,123910,124515,347953.77,14811334456,12354077281,101548846,61947360,33987890678.0,100420617,222000000000.0,269111739,1481840605,244000000000.0,34698343105.0,300986221,281680826,496000000000.0,239000000000.0,33.23,228.41,261.64
8208,SP,89032242,269378572,1370718525,35395972811.0,357015.53,29454,28790,354503.19,15239506409,11777039420,90517501,54448423,35749073218.0,89984943,223000000000.0,263218286,1337392781,245000000000.0,37117433662.0,298093522,276415496,479000000000.0,232000000000.0,31.72,219.14,250.85999999999999
8209,SP,97068779,256039910,1399448643,39335596825.0,341336.4,4012,4026,348156.12,16678209945,11757395423,101638457,55599932,36948904188.0,103151998,223000000000.0,268387711,1402643664,242000000000.0,36907384264.0,303370506,285804484,508000000000.0,242000000000.0,33.89,231.27,265.16
8210,SP,98163510,284468536,1517432155,33484620277.0,365459.42,1313,1282,366668.53,15170853483,13218130064,95232756,61512818,36479387089.0,93625336,234000000000.0,273702075,1506733161,256000000000.0,37359626189.0,314927548,294771232,524000000000.0,247000000000.0,35.27,244.11,279.38
8211,SP,107189815,298906031,1395300355,42154173281.0,374241.65,1983,1983,366015.1,17250438479,11498646707,101578365,54780565,40953475466.0,104105089,229000000000.0,266477104,1396543070,252000000000.0,40642537425.0,307532876,284831050,492000000000.0,217000000000.0,32.76,223.8,256.56
