,Application,branch_misses,cache_misses,cache_references,instructions,cpu_clock,minor_faults,page_faults,task_clock,L1_icache_loads,LLC_loads,branch_load_misses,iTLB_load_misses,iTLB_loads,cpu_branch_misses_,cpu_bus_cycles_,cpu_cache_misses_,cpu_cache_references_,cpu_cpu_cycles_,cpu_instructions_,msr_aperf_,msr_mperf_,msr_tsc_,cpu_ref_cycles_,power_energy_ram_,power_energy_pkg_,total
3759,EP,1425471688,37214349,456081555,79532127802.0,307262.92,0,0,307284.41,58333054614,3082189434,1400169157,575741298,79690564320.0,1417565274,195000000000.0,36438541,455741316,207000000000.0,79225837042.0,240376121,224341278,429000000000.0,201000000000.0,15.01,194.73,209.73999999999998
3760,EP,1425052379,37531677,465478894,79723958539.0,307200.7,1508,1536,307239.99,58440305027,3104683436,1401988154,576119990,80124171264.0,1422084637,195000000000.0,36907659,464461861,207000000000.0,79398489076.0,241135054,225121232,429000000000.0,201000000000.0,14.54,195.22,209.76
3761,EP,1430369318,37317248,458049571,79701014513.0,307316.06,1452,1424,307336.07,58574019169,3089038424,1402986210,576427435,79608299716.0,1417706595,195000000000.0,36333912,457639706,207000000000.0,79197168426.0,240317025,224219814,429000000000.0,201000000000.0,14.98,194.96,209.94
3762,EP,1429897585,37688521,459956488,79546631730.0,306893.13,1517,1518,306346.49,58389517507,3096747204,1399824230,574639727,79538593858.0,1418032406,195000000000.0,37263428,469785637,207000000000.0,79102512052.0,240303140,224310198,428000000000.0,200000000000.0,14.44,194.84,209.28
3763,EP,1420790816,37221472,461304909,79640701147.0,306537.45,1096,1095,307039.97,58446913666,3091385446,1399280744,575673983,79725339424.0,1418462809,195000000000.0,37304032,457973930,207000000000.0,79114135594.0,240336852,224306572,429000000000.0,201000000000.0,15.1,195.13,210.23
3764,EP,1426423831,36977472,454774996,79460884001.0,307237.34,0,0,306830.19,58200137259,3053008109,1392337495,571547209,78913151052.0,1404985280,193000000000.0,35653871,452376144,204000000000.0,78253567042.0,236756093,220794728,422000000000.0,197000000000.0,14.04,191.35,205.39
3765,EP,1398315196,35717173,450981854,77732590661.0,299170.46,0,0,297282.11,56607313564,2972986362,1355108332,557713738,77220621673.0,1373560183,189000000000.0,35090611,441017344,200000000000.0,76994927566.0,232493356,216929454,415000000000.0,194000000000.0,14.13,188.93,203.06
3766,EP,1378809205,35990862,445909986,77090137321.0,297365.27,0,0,297657.68,56580249761,2985037405,1356040127,557512625,77267396625.0,1375539639,189000000000.0,35487268,442721578,200000000000.0,76929960651.0,232944917,217430850,416000000000.0,194000000000.0,13.39,189.26,202.64999999999998
3767,EP,1382977018,35609116,443464743,77181301402.0,297929.13,0,0,297870.7,56590126430,2975298268,1355334974,556415948,77176320227.0,1374642723,189000000000.0,35395207,440121341,200000000000.0,76779393020.0,232961633,217607964,417000000000.0,195000000000.0,15.87,189.79,205.66
3768,EP,1389185663,36132476,448220976,77455255199.0,298850.2,20,20,298624.92,56787975610,2986419103,1357485584,558721119,77509086668.0,1379762195,190000000000.0,35988468,451718215,200000000000.0,77093657525.0,233609153,217884870,416000000000.0,194000000000.0,16.1,189.19,205.29
