,Application,branch_misses,cache_misses,cache_references,instructions,cpu_clock,minor_faults,page_faults,task_clock,L1_icache_loads,LLC_loads,branch_load_misses,iTLB_load_misses,iTLB_loads,cpu_branch_misses_,cpu_bus_cycles_,cpu_cache_misses_,cpu_cache_references_,cpu_cpu_cycles_,cpu_instructions_,msr_aperf_,msr_mperf_,msr_tsc_,cpu_ref_cycles_,power_energy_ram_,power_energy_pkg_,total
5434,IS,252667947,322839772,1822107904,43769034497.0,325030.44,182597,182516,329673.28,26030498291,8054361762,250383020,369019376,40737598839.0,252038505,209000000000.0,349967316,1768566566,225000000000.0,40231291496.0,277878068,260248856,475000000000.0,213000000000.0,30.28,196.2,226.48
5435,IS,37249367,654473516,1038088953,9382869093.0,339640.87,2123,2130,337699.29,4866254394,3243710812,36404759,40544996,10925536641.0,36813971,206000000000.0,620908133,1068815380,222000000000.0,11084898257.0,292710626,272731900,462000000000.0,201000000000.0,31.67,184.19,215.86
5436,IS,238247505,340926974,1878699574,44311038846.0,332120.36,108307,108300,334033.24,26131967238,8415378895,238640498,378206821,42956089569.0,243100040,205000000000.0,342379174,1853270659,221000000000.0,42426339206.0,273308741,255676680,474000000000.0,204000000000.0,27.54,195.73,223.26999999999998
5437,IS,38020932,654525490,1017042646,8640110888.0,338570.67,87,87,337328.61,4521970188,3089529098,38221812,37334455,9737027063.0,37614105,208000000000.0,631135631,1047616906,224000000000.0,9898194036.0,296160482,275955176,466000000000.0,204000000000.0,31.42,185.85,217.26999999999998
5438,IS,244952526,365489279,1883873523,46410222735.0,334570.74,199710,199710,335702.98,26366011022,8385080449,240568341,336956729,45301705048.0,243536795,209000000000.0,360834570,1849438530,225000000000.0,45045915060.0,277736107,259880488,474000000000.0,210000000000.0,29.29,197.8,227.09
5439,IS,36433440,649184219,989769360,8032958508.0,339019.24,859,870,338060.04,4250975360,2881288999,35585753,36409343,9026840186.0,35896248,208000000000.0,642413937,1024050322,223000000000.0,9051400815.0,297266007,276893316,468000000000.0,210000000000.0,31.4,185.72,217.12
5440,IS,210192098,384273182,1907493928,41990424478.0,335543.28,108663,108652,337526.81,23846995072,8204388377,203631239,324497999,40674298924.0,204533540,208000000000.0,394599212,1876504916,222000000000.0,41421474853.0,278976771,260604232,474000000000.0,213000000000.0,26.97,197.09,224.06
5441,IS,36360771,636774173,985678647,8014446663.0,338920.66,4715,4729,337167.93,4290469907,2916551818,35737322,36141563,8864017825.0,35981964,208000000000.0,642046759,1019515712,223000000000.0,9010965009.0,296815033,276716118,468000000000.0,214000000000.0,31.51,186.04,217.54999999999998
5442,IS,185445758,388393241,1879741853,39823959340.0,335256.7,73414,73441,335172.41,22240396000,8018725722,188502279,306662336,38633263531.0,187619950,203000000000.0,390387433,1861571310,218000000000.0,39059191958.0,274342910,256442004,470000000000.0,207000000000.0,30.29,195.78,226.07
5443,IS,45331135,646870383,981664010,7529240625.0,337471.64,2359,2320,335065.57,5335354316,2762128077,47783053,93734634,8256737890.0,48993704,207000000000.0,643420781,984999371,221000000000.0,8450232973.0,293347709,273259504,462000000000.0,207000000000.0,31.28,182.75,214.03
5444,IS,94782753,589420636,929757855,12817757901.0,326174.46,32416,32546,324037.92,8776638703,3892463833,88563539,177875465,11858612650.0,89314739,201000000000.0,571338844,880538049,214000000000.0,11774816637.0,278060424,259259084,450000000000.0,199000000000.0,29.69,182.95,212.64
5445,IS,36201705,617888593,755383556,6143071653.0,321785.92,14585,14454,321737.05,2745662549,3530711946,35872290,36317653,6100863659.0,36090432,199000000000.0,615984081,753199150,211000000000.0,6190729112.0,281186533,262424456,449000000000.0,198000000000.0,28.95,183.58,212.53
5446,IS,40260462,619210997,817652627,14481598577.0,320834.93,649,655,319450.1,6905481756,4074776192,40715892,38547349,15957488289.0,41113670,196000000000.0,611677373,833736163,209000000000.0,16517700308.0,277018477,258386450,444000000000.0,194000000000.0,29.27,181.94,211.21
5447,IS,103077194,587020508,1132246373,39010746770.0,313636.87,3196,3390,308100.74,20379606221,6310316068,115494060,181142277,39237812968.0,116335195,190000000000.0,536442761,1129743534,202000000000.0,39663656503.0,256257296,238424844,420000000000.0,184000000000.0,26.64,175.02,201.66000000000003
5448,IS,178810126,104564771,493777654,24264507907.0,305033.77,66071,65870,314717.02,14091507682,2863098372,163745665,208027642,21961739799.0,160007883,128000000000.0,88508800,407419324,133000000000.0,21680683864.0,156664964,148650838,452000000000.0,121000000000.0,13.19,148.24,161.43
