,Application,branch_misses,cache_misses,cache_references,instructions,cpu_clock,minor_faults,page_faults,task_clock,L1_icache_loads,LLC_loads,branch_load_misses,iTLB_load_misses,iTLB_loads,cpu_branch_misses_,cpu_bus_cycles_,cpu_cache_misses_,cpu_cache_references_,cpu_cpu_cycles_,cpu_instructions_,msr_aperf_,msr_mperf_,msr_tsc_,cpu_ref_cycles_,power_energy_ram_,power_energy_pkg_,total
8209,SP,97068779,256039910,1399448643,39335596825.0,341336.4,4012,4026,348156.12,16678209945,11757395423,101638457,55599932,36948904188.0,103151998,223000000000.0,268387711,1402643664,242000000000.0,36907384264.0,303370506,285804484,508000000000.0,242000000000.0,33.89,231.27,265.16
8210,SP,98163510,284468536,1517432155,33484620277.0,365459.42,1313,1282,366668.53,15170853483,13218130064,95232756,61512818,36479387089.0,93625336,234000000000.0,273702075,1506733161,256000000000.0,37359626189.0,314927548,294771232,524000000000.0,247000000000.0,35.27,244.11,279.38
8211,SP,107189815,298906031,1395300355,42154173281.0,374241.65,1983,1983,366015.1,17250438479,11498646707,101578365,54780565,40953475466.0,104105089,229000000000.0,266477104,1396543070,252000000000.0,40642537425.0,307532876,284831050,492000000000.0,217000000000.0,32.76,223.8,256.56
8212,SP,96099367,273131470,1484682321,32796954317.0,352676.2,687,687,355517.66,13780796838,13210013964,97042155,63443611,32347680569.0,98250447,226000000000.0,264768932,1504803761,249000000000.0,31893026625.0,302515127,283484810,503000000000.0,218000000000.0,33.77,231.93,265.7
8213,SP,96888479,270431111,1387825032,40923882481.0,365086.64,1634,1634,373186.58,17584511522,11558390677,101811104,57765831,41635824151.0,102657044,235000000000.0,263721331,1349159612,257000000000.0,41392105852.0,314836498,291873596,505000000000.0,222000000000.0,33.22,229.83,263.05
8214,SP,101652406,292155633,1361198525,32945512486.0,355582.43,1174,1174,347919.13,13687579791,12005782116,95249211,58147025,31628324263.0,97701759,222000000000.0,279159645,1424561267,241000000000.0,31766093294.0,299943852,281064686,497000000000.0,223000000000.0,32.53,227.5,260.03
8215,SP,85068051,265670425,1401001000,35332501803.0,359489.06,172,197,360965.55,14616762364,12033346955,88137474,54327588,34877023017.0,88307969,229000000000.0,271903227,1340226976,247000000000.0,35652753856.0,305358391,283882760,495000000000.0,230000000000.0,32.96,227.17,260.13
8216,SP,103809102,264487513,1421610219,40733388456.0,352626.29,2378,2354,355256.01,17673811210,12205485291,104187072,56014687,39389463608.0,105654196,227000000000.0,267472055,1477422145,243000000000.0,39052995900.0,305277315,286284292,511000000000.0,245000000000.0,34.36,233.1,267.46
8217,SP,98852144,288158399,1516398614,32495998659.0,367013.72,261,260,367134.87,14597139475,13368124934,95143365,62763881,34864242381.0,94916821,235000000000.0,281851468,1513125013,252000000000.0,35552359440.0,314218618,294622482,521000000000.0,251000000000.0,34.76,241.81,276.57
8218,SP,103696792,289594704,1350720870,41960425266.0,370773.69,2269,2269,364606.21,17784429083,11570168461,101537909,53932157,40359432770.0,102850894,230000000000.0,276428776,1386821413,246000000000.0,41512369398.0,310375267,288116178,500000000000.0,236000000000.0,33.14,227.32,260.46
8219,SP,101968076,270326404,1509262341,34008980338.0,358219.89,840,840,359819.7,14392348770,13589989351,100099519,65213835,32647437687.0,100061778,226000000000.0,272526835,1504677374,243000000000.0,32518063201.0,302457603,282427978,499000000000.0,229000000000.0,33.41,230.23,263.64
8220,SP,94408077,262111117,1412456813,40647628560.0,358797.81,1445,1445,362073.65,17860960103,11504702503,100833416,54351679,41245491534.0,100007178,232000000000.0,259785408,1367698593,249000000000.0,41989848885.0,311129712,290145016,505000000000.0,233000000000.0,33.27,230.05,263.32
8221,SP,103226663,286401965,1372701067,34302769778.0,358372.38,758,758,355539.04,14458811936,11987687609,100654179,58956279,32840324502.0,102738422,224000000000.0,287927250,1399543514,241000000000.0,33729045870.0,301753946,281743924,498000000000.0,229000000000.0,33.21,227.85,261.06
8222,SP,84908985,264354203,1427307918,35295555247.0,363381.26,206,244,368070.7,14832498674,12569827338,90051299,53792425,35515046688.0,91519488,235000000000.0,274421969,1381098754,253000000000.0,36107925438.0,314020857,292563012,511000000000.0,229000000000.0,34.11,233.71,267.82
8223,SP,101750176,269282791,1433585407,41475832743.0,359536.42,2197,2171,357281.04,18214366356,11964994282,102203238,52869232,41020580020.0,101766478,227000000000.0,258654046,1499687233,243000000000.0,41497197086.0,306209891,286736786,509000000000.0,227000000000.0,33.71,232.66,266.37
8224,SP,102978608,290299097,1566690329,33430349950.0,366807.19,270,258,368800.96,14969414892,12864733218,97402570,67322511,34286630066.0,98763183,235000000000.0,282342650,1541987513,258000000000.0,35297676684.0,314445466,294514556,521000000000.0,241000000000.0,33.77,241.46,275.23
8225,SP,102883375,295031979,1346824440,41410810341.0,369477.99,1874,1874,360692.77,17157895412,11048909612,100762932,52113326,39884107804.0,99051493,226000000000.0,271787896,1342262742,248000000000.0,40122821641.0,303522166,281555204,489000000000.0,220000000000.0,31.1,221.97,253.07
